Ome,Genus,species,ProdOrScav,ROSEnzymeName,ROSEnzymeAbbrev,Manual_count,Automated_count,AutomatedECKO_count
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Ascorbate peroxidase,APX,4,3,4
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Catalase,CAT,0,0,0
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Cytochrome C peroxidase,CCP,2,3,3
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Dehydroascorbate reductase,DHAR,1,7,0
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Glutathione peroxidase,GPx,4,4,6
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Glutathione reductase,GR,2,2,1
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Catalase peroxidase,Katg,2,2,2
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Monodehydroascorbate reductase,MDHAR,0,0,0
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,Peroxiredoxin,Prxns,7,8,6
Fragilariopsis_cylindrus_CCMP1102-aa-gen,Fragilariopsis,cylindrus,Scavenging,"Superoxide Dismutase (Fe, Mn, Cu/Zn, Ni)",SOD,3,4,5
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Ascorbate peroxidase,APX,4,5,3
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Catalase,CAT,0,0,1
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Cytochrome C peroxidase,CCP,2,2,4
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Dehydroascorbate reductase,DHAR,1,4,3
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Glutathione peroxidase,GPx,3,2,3
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Glutathione reductase,GR,2,2,0
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Catalase peroxidase,Katg,1,0,0
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Monodehydroascorbate reductase,MDHAR,0,0,0
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,Peroxiredoxin,Prxns,8,10,4
Guillardia_theta_CCMP2712-aa-gen,Guillardia,theta,Scavenging,"Superoxide Dismutase (Fe, Mn, Cu/Zn, Ni)",SOD,7,7,6
Phaeodactylum_tricornutum_CCAP10551-aa-gen,Phaeodactylum,tricornutum,Scavenging,Ascorbate peroxidase,APX,5,6,4
Phaeodactylum_tricornutum_CCAP10551-aa-gen,Phaeodactylum,tricornutum,Scavenging,Catalase,CAT,1,1,1
Phaeodactylum_tricornutum_CCAP10551-aa-gen,Phaeodactylum,tricornutum,Scavenging,Cytochrome C peroxidase,CCP,4,2,2
Phaeodactylum_tricornutum_CCAP10551-aa-gen,Phaeodactylum,tricornutum,Scavenging,Dehydroascorbate reductase,DHAR,1,4,0
